,season_year,season_type,gamekey,game_date,week,playid,game_clock,yardline,quarter,play_type,poss_team,home_team_visit_team,score_home_visiting,playdescription,No Play,PENALTY,declined,Offensive Holding,Defensive 12 On-field,Illegal Block Above the Waist,Fair Catch Interference,Running Into the Kicker,Unnecessary Roughness,Illegal Touch Kick,Illegal Use of Hands,False Start,Out of Bounds on Punt,Horse Collar Tackle,Face Mask,Ineligible Downfield Kick,Illegal Substitution,Illegal Formation,Delay of Game,Illegal Blindside Block,Neutral Zone Infraction,Tripping,Defensive Holding,Roughing the Kicker,Unsportsmanlike Conduct,Defensive Offside,Interference with Opportunity to Catch,Illegal Motion,Chop Block,Clipping,Invalid Fair Catch Signal,Illegal Shift,Offensive 12 On-field,Taunting,Offensive Pass Interference,Disqualification,Defensive Pass Interference,REVERSED,out of bounds,Touchback,fair catch,MUFF,downed,BLOCKED,TOUCHDOWN,no gain,FUMBLES,pass incomplete,Returned,returned for,return_yards,risk_factor,Season_Year,GameKey,PlayID,PlayUnique,GL,GLi,GLo,GR,GRi,GRo,P,PC,PDL1,PDL2,PDL3,PDL4,PDL5,PDL6,PDM,PDR1,PDR2,PDR3,PDR4,PDR5,PDR6,PFB,PLG,PLL,PLL1,PLL2,PLL3,PLM,PLM1,PLR,PLR1,PLR2,PLR3,PLS,PLT,PLW,PPL,PPLi,PPLo,PPR,PPRi,PPRo,PR,PRG,PRT,PRW,VL,VLi,VLo,VR,VRi,VRo
1080,2016,Reg,188,11/06/2016,9,3114,09:50,CLV 37,4,Punt,DAL,CLV-DAL,10 - 35,"(9:50) (Punt formation) C.Jones punts 25 yards to CLV 12, Center-L.Ladouceur, fair catch by T.Williams Sr..",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0.0,8.0,2016,188,3114,2016-188-3114,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
1064,2017,Reg,409,09/10/2017,1,1441,07:41,IND 14,2,Punt,IND,LA-IND,17 - 3,"(7:41) R.Sanchez punts 51 yards to LA 35, Center-L.Rhodes. T.Austin to LA 42 for 7 yards (K.Moore).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 7 yard,7.0,8.0,2017,409,1441,2017-409-1441,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
1100,2016,Reg,172,10/24/2016,7,425,09:38,DEN 16,1,Punt,DEN,DEN-HST,0 - 0,"(9:38) R.Dixon punts 43 yards to HST 41, Center-C.Kreiter. T.Ervin to HST 42 for 1 yard (C.Nelson).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 1 yard,1.0,8.0,2016,172,425,2016-172-425,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0
1104,2016,Reg,118,10/02/2016,4,3300,01:07,DET 46,3,Punt,DET,CHI-DET,14 - 6,"(1:07) (Punt formation) S.Martin punts 34 yards to CHI 20, Center-D.Muhlbach, fair catch by E.Royal.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0.0,8.0,2016,118,3300,2016-118-3300,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
1102,2016,Reg,179,10/30/2016,8,3282,13:22,IND 20,4,Punt,IND,IND-KC,14 - 24,"(13:22) P.McAfee punts 58 yards to KC 22, Center-M.Overton. T.Hill pushed ob at 50 for 28 yards (J.Doyle).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 28 yard,28.0,8.0,2016,179,3282,2016-179-3282,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1
1101,2017,Reg,459,10/01/2017,4,995,15:00,TB 27,2,Punt,TB,TB-NYG,13 - 0,"(15:00) (Punt formation) B.Anger punts 62 yards to NYG 11, Center-G.Sanborn, downed by TB-J.Robinson.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0.0,8.0,2017,459,995,2017-459-995,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
1103,2016,Reg,143,10/13/2016,6,1177,07:59,DEN 42,2,Punt,DEN,SD-DEN,10 - 0,"(7:59) R.Dixon punts 47 yards to SD 11, Center-C.Kreiter, downed by DEN-W.Parks. Denver challenged the kick downed ruling, and the play was REVERSED. R.Dixon punts 47 yards to SD 11, Center-C.Kreiter. T.Benjamin MUFFS catch, RECOVERED by DEN-W.Parks at SD 11.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,0,0.0,8.0,2016,143,1177,2016-143-1177,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
1099,2016,Reg,119,10/02/2016,4,1829,01:25,HST 44,2,Punt,HST,HST-TEN,17 - 17,"(1:25) S.Lechler punts 45 yards to TEN 11, Center-J.Weeks. M.Mariani to TEN 12 for 1 yard (C.James). (The Punt Hangtime Was 4.84 seconds.)",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 1 yard,1.0,8.0,2016,119,1829,2016-119-1829,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
1098,2016,Reg,172,10/24/2016,7,1389,07:41,HST 24,2,Punt,HST,DEN-HST,7 - 6,"(7:41) S.Lechler punts 48 yards to DEN 28, Center-J.Weeks. J.Norwood to DEN 32 for 4 yards (D.Jones).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 4 yard,4.0,8.0,2016,172,1389,2016-172-1389,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
1097,2016,Reg,193,11/06/2016,9,1345,06:39,CAR 40,2,Punt,LA,LA-CAR,0 - 7,"(6:39) (Punt formation) J.Hekker punts 40 yards to end zone, Center-J.McQuaide, Touchback. Penalty on CAR-L.Kuechly, Unsportsmanlike Conduct, offsetting. Penalty on LA-B.Cunningham, Unsportsmanlike Conduct, offsetting.",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0.0,8.0,2016,193,1345,2016-193-1345,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
1096,2017,Reg,411,09/10/2017,1,198,12:12,CAR 38,1,Punt,CAR,SF-CAR,0 - 0,"(12:12) M.Palardy punts 53 yards to SF 9, Center-J.Jansen. T.Taylor pushed ob at SF 18 for 9 yards (F.Whittaker).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 9 yard,9.0,8.0,2017,411,198,2017-411-198,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0
1082,2016,Reg,112,09/25/2016,3,3574,04:08,DAL 47,4,Punt,DAL,DAL-CHI,31 - 17,"(4:08) (Punt formation) C.Jones punts 42 yards to CHI 11, Center-L.Ladouceur, fair catch by E.Royal.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0.0,8.0,2016,112,3574,2016-112-3574,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
1094,2017,Reg,424,09/17/2017,2,2953,13:36,MIA 42,4,Punt,LAC,LAC-MIA,17 - 13,"(13:36) D.Kaser punts 23 yards to MIA 19, Center-M.Windt, downed by LAC.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0.0,8.0,2017,424,2953,2017-424-2953,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
1093,2016,Reg,120,10/02/2016,4,3622,07:13,BUF 41,4,Punt,BUF,NE-BUF,0 - 16,"(7:13) C.Schmidt punts 35 yards to NE 24, Center-G.Sanborn. D.Amendola MUFFS catch, and recovers at NE 24. D.Amendola to NE 24 for no gain (C.White). BUF-C.White was injured during the play. ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0,0.0,8.0,2016,120,3622,2016-120-3622,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0
1095,2016,Reg,120,10/02/2016,4,1891,01:13,BUF 42,2,Punt,BUF,NE-BUF,0 - 13,"(1:13) C.Schmidt punts 43 yards to NE 15, Center-G.Sanborn. D.Amendola to NE 20 for 5 yards (L.Alexander; G.Sanborn).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 5 yard,5.0,8.0,2016,120,1891,2016-120-1891,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1
1092,2016,Reg,120,10/02/2016,4,4207,01:06,BUF 38,4,Punt,BUF,NE-BUF,0 - 16,"(1:06) C.Schmidt punts 37 yards to NE 25, Center-G.Sanborn. C.Jones MUFFS catch, and recovers at NE 26.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0.0,8.0,2016,120,4207,2016-120-4207,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0
1087,2017,Reg,411,09/10/2017,1,1126,12:26,SF 16,2,Punt,SF,SF-CAR,0 - 7,"(12:26) B.Pinion punts 49 yards to CAR 35, Center-K.Nelson. C.McCaffrey to SF 44 for 21 yards (B.Coyle). PENALTY on CAR-B.Jacobs, Offensive Holding, 10 yards, enforced at CAR 35.",False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,8.0,2017,411,1126,2017-411-1126,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1
1083,2016,Reg,223,11/20/2016,11,3529,12:08,SF 27,4,Punt,SF,SF-NE,10 - 20,"(12:08) B.Pinion punts 43 yards to NE 30, Center-K.Nelson, fair catch by Cy.Jones.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0.0,8.0,2016,223,3529,2016-223-3529,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0
1084,2016,Reg,117,10/02/2016,4,1310,11:12,OAK 27,2,Punt,OAK,BLT-OAK,3 - 7,"(11:12) (Punt formation) M.King punts 55 yards to BLT 18, Center-J.Condo. D.Hester pushed ob at BLT 27 for 9 yards (B.Heeney).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 9 yard,9.0,8.0,2016,117,1310,2016-117-1310,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1
1091,2017,Reg,411,09/10/2017,1,879,00:58,SF 32,1,Punt,SF,SF-CAR,0 - 7,"(:58) B.Pinion punts 40 yards to CAR 28, Center-K.Nelson. C.McCaffrey to CAR 32 for 4 yards (R.Mostert). PENALTY on CAR-J.Cash, Illegal Block Above the Waist, 10 yards, enforced at CAR 32.",False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,8.0,2017,411,879,2017-411-879,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0
1086,2016,Reg,192,11/06/2016,9,793,02:43,NYG 41,1,Punt,NYG,NYG-PHI,14 - 3,"(2:43) B.Wing punts 39 yards to PHI 20, Center-Z.DeOssie, downed by NYG-D.Harris.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0.0,8.0,2016,192,793,2016-192-793,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
1085,2016,Reg,221,11/20/2016,11,3437,04:47,NYG 28,4,Punt,NYG,NYG-CHI,22 - 16,"(4:47) B.Wing punts 46 yards to CHI 26, Center-Z.DeOssie. E.Royal ran ob at CHI 30 for 4 yards (K.Robinson).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 4 yard,4.0,8.0,2016,221,3437,2016-221-3437,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1
1088,2016,Reg,142,10/10/2016,5,1031,09:03,TB 23,2,Punt,TB,CAR-TB,0 - 3,"(9:03) B.Anger punts 48 yards to CAR 29, Center-A.DePaola. T.Ginn MUFFS catch, RECOVERED by TB-R.Shepard at CAR 30. R.Shepard to CAR 30 for no gain (T.Ginn).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0,0.0,8.0,2016,142,1031,2016-142-1031,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1
1089,2017,Reg,433,09/24/2017,3,2688,12:57,BUF 23,3,Punt,BUF,BUF-DEN,13 - 13,"(12:57) C.Schmidt punts 52 yards to DEN 25, Center-R.Ferguson. I.McKenzie to DEN 41 for 16 yards (J.Webb).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 16 yard,16.0,8.0,2017,433,2688,2017-433-2688,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1
1090,2017,Reg,458,10/01/2017,4,1692,03:05,LAC 32,2,Punt,LAC,LAC-PHI,7 - 16,"(3:05) D.Kaser punts 53 yards to PHI 15, Center-M.Windt. K.Barner to PHI 28 for 13 yards (A.Phillips).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 13 yard,13.0,8.0,2017,458,1692,2017-458-1692,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1
1105,2016,Reg,192,11/06/2016,9,2801,06:06,PHI 25,3,Punt,PHI,NYG-PHI,28 - 17,"(6:06) D.Jones punts 45 yards to NYG 30, Center-J.Dorenbos. D.Harris to NYG 40 for 10 yards (C.Maragos, N.Goode).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 10 yard,10.0,8.0,2016,192,2801,2016-192-2801,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1
1801,2017,Reg,480,10/15/2017,6,3400,12:10,HST 31,4,Punt,HST,HST-CLV,33 - 10,"(12:10) S.Lechler punts 49 yards to CLV 20, Center-J.Weeks. J.Peppers to CLV 19 for -1 yards (B.Peters).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for -1 yard,-1.0,6.0,2017,480,3400,2017-480-3400,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1
1802,2016,Reg,130,10/09/2016,5,2342,12:45,WAS 39,3,Punt,WAS,BLT-WAS,10 - 6,"(12:45) (Punt formation) T.Way punts 61 yards to end zone, Center-N.Sundberg, Touchback.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0.0,6.0,2016,130,2342,2016-130-2342,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0
1803,2016,Pre,42,08/27/2016,4,4248,04:05,KC 30,4,Punt,KC,CHI-KC,7 - 23,"(4:05) (Punt formation) D.Colquitt punts 48 yards to CHI 22, Center-J.Winchester. B.Daniels MUFFS catch, and recovers at CHI 25. PENALTY on KC, Unsportsmanlike Conduct, 15 yards, enforced at CHI 25.",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0.0,6.0,2016,42,4248,2016-42-4248,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1
1804,2016,Pre,43,08/27/2016,4,121,13:06,LA 13,1,Punt,LA,DEN-LA,0 - 0,"(13:06) J.Hekker punts 46 yards to DEN 41, Center-J.McQuaide. J.Norwood to DEN 43 for 2 yards (C.Reynolds).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 2 yard,2.0,6.0,2016,43,121,2016-43-121,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
1805,2017,Reg,637,12/25/2017,16,3294,05:23,PIT 18,4,Punt,PIT,HST-PIT,6 - 34,"(5:23) J.Berry punts 57 yards to HST 25, Center-K.Canaday. B.Miller to HST 32 for 7 yards (R.Golden; B.Allen).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 7 yard,7.0,6.0,2017,637,3294,2017-637-3294,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1
1806,2017,Reg,646,12/31/2017,17,1351,08:57,WAS 45,2,Punt,WAS,NYG-WAS,15 - 7,"(8:57) T.Way punts 42 yards to NYG 13, Center-N.Sundberg. K.Raymond pushed ob at NYG 24 for 11 yards (J.Harvey-Clemons).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 11 yard,11.0,6.0,2017,646,1351,2017-646-1351,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0
1779,2017,Reg,446,09/25/2017,3,1548,02:35,ARZ 5,2,Punt,ARZ,ARZ-DAL,7 - 0,"(2:35) A.Lee punts 49 yards to DAL 46, Center-A.Brewer. R.Switzer to ARZ 33 for 21 yards (E.Penny).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 21 yard,21.0,6.0,2017,446,1548,2017-446-1548,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
1807,2017,Reg,632,12/24/2017,16,2284,12:31,LA 42,3,Punt,LA,TEN-LA,13 - 13,"(12:31) (Punt formation) J.Hekker punts 52 yards to TEN 6, Center-J.McQuaide. A.Jackson pushed ob at TEN 17 for 11 yards (C.Lynch). PENALTY on LA-P.Cooper, Face Mask (15 Yards), 15 yards, enforced at TEN 17.",False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,6.0,2017,632,2284,2017-632-2284,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1
1808,2016,Reg,130,10/09/2016,5,1877,00:53,BLT 29,2,Punt,BLT,BLT-WAS,10 - 6,"(:53) S.Koch punts 42 yards to WAS 29, Center-M.Cox, out of bounds.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0.0,6.0,2016,130,1877,2016-130-1877,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
1809,2016,Pre,41,08/26/2016,4,3894,05:15,SF 39,4,Punt,GB,SF-GB,10 - 21,"(5:15) P.Mortell punts 29 yards to SF 10, Center-R.Lovato, downed by GB-R.Lovato.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0.0,6.0,2016,41,3894,2016-41-3894,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
